PartyCode,DateTime,Cluster,record_count
55321,200605,5,24
55321,200605,6,29
55321,200605,7,32
55321,201105,0,11
55321,201105,1,12
55321,201105,2,8
55321,201105,3,11
55321,201105,4,15
55321,201105,5,6
55321,201105,6,10
55321,201105,7,5
55321,201605,0,12
55321,201605,1,6
55321,201605,2,25
55321,201605,3,15
55321,201605,4,21
55321,201605,5,41
55321,201605,6,17
55321,201605,7,23
55322,200605,0,8
55322,200605,1,58
55322,200605,2,35
55322,200605,3,67
55322,200605,4,88
55322,200605,5,32
55322,200605,6,44
55322,200605,7,34
55322,201105,0,9
55322,201105,1,7
55322,201105,2,13
55322,201105,3,3
55322,201105,4,10
55322,201105,5,11
55322,201105,6,7
55322,201105,7,17
55322,201605,2,11
55322,201605,3,1
55322,201605,4,2
55322,201605,5,2
55322,201605,6,2
55322,201605,7,2
55340,201605,0,8
55340,201605,1,15
55340,201605,2,22
55340,201605,3,19
55340,201605,4,26
55340,201605,5,11
55340,201605,6,14
55340,201605,7,8
55422,200605,1,7
55422,200605,2,2
55422,200605,4,1
55422,200605,5,1
55422,200605,6,9
55422,201105,1,10
55422,201105,2,10
55422,201105,3,3
55422,201105,4,5
55422,201105,5,1
55422,201105,6,5
55422,201105,7,8
55422,201605,0,4
55422,201605,1,4
55422,201605,2,9
55422,201605,3,1
55422,201605,4,4
55422,201605,5,1
55422,201605,6,2
55422,201605,7,3
55430,200605,0,14
55430,200605,1,36
55430,200605,2,25
55430,200605,3,37
55430,200605,4,58
55430,200605,5,56
55430,200605,6,29
55430,200605,7,24
55430,201105,1,4
55430,201105,2,7
55430,201105,3,7
55430,201105,4,10
55430,201105,5,10
55430,201105,6,5
55430,201105,7,13
55610,201605,0,1
55610,201605,1,5
55610,201605,2,13
55610,201605,3,3
55610,201605,5,10
55610,201605,6,13
55610,201605,7,2
55711,200605,0,14
55711,200605,1,45
55711,200605,2,29
55711,200605,3,62
55711,200605,4,94
55711,200605,5,29
55711,200605,6,23
55711,200605,7,31
55711,201105,0,2
55711,201105,1,2
55711,201105,2,5
55711,201105,4,3
55711,201105,5,3
55711,201105,6,3
55711,201105,7,3
55711,201605,0,45
55711,201605,1,88
55711,201605,2,53
55711,201605,3,32
55711,201605,4,19
55711,201605,5,70
55711,201605,6,84
55711,201605,7,28
55720,201605,1,1
